name,bfs_nummer,relation,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,quality_category
Mont-Tramelan,437,https://osm.org/relation/1682557,0.9263875730033637,7.1503191072700725,5068.092185699698,7.369302654869279,4639706.079371432,4307952.289056965,Fair
Buckten,2843,https://osm.org/relation/1683635,0.9984540290050801,0.025786874429493876,3.144530634627566,0.154736641551793,1997945.9773439628,1998461.1851643096,Excellent
Nidau,743,https://osm.org/relation/1682573,0.891619977759724,11.86138514106043,320.52828407407355,12.13855949049465,1521013.825836523,1701427.133767771,Poor
Staffelbach,4284,https://osm.org/relation/1684430,0.9944735543648331,0.03508464885581639,64.14660358630924,0.5542730902690434,8933086.366180446,8936220.508164007,Excellent
Grenchen,2546,https://osm.org/relation/1683510,0.9993505404388061,0.0036543112566876025,11.219126319979374,0.0649658658070191,26026670.216175076,26025719.120635625,Excellent
Rüttenen,2555,https://osm.org/relation/1683572,0.9989431505741714,0.007385411665046307,5.330589253954347,0.105744723341948,8765587.692268481,8766235.067004416,Excellent
Magliaso,5193,https://osm.org/relation/1684704,0.9954551840911359,0.19505825516447337,31.062921239657545,0.4550724492091818,1755649.058666061,1752224.5202454154,Excellent
Eschenbach (SG),3342,https://osm.org/relation/2743488,0.9993887849082242,0.00018397704539965123,3.752107239699058,0.061140250323980946,54891727.67884562,54891828.667024374,Excellent
Winterthur,230,https://osm.org/relation/1682243,0.9997967462287477,0.004283243938079143,12.627095380825349,0.02032787827696852,68070608.48568803,68073524.11589961,Excellent
Bercher,5512,https://osm.org/relation/1684849,0.9973924965107676,0.038399828964771704,9.428334121481319,0.26104061723951844,4268816.601758026,4267177.383484131,Excellent
Saint-Martin (FR),2335,https://osm.org/relation/1683395,0.9986737339119819,0.004262475456306337,3.384295863023133,0.13271178778518905,9783759.605935514,9783342.575583607,Excellent
Güttingen,4656,https://osm.org/relation/1684525,0.9944107887268668,0.00506263371711803,77.20494700304295,0.5604732810392434,9546367.2070065,9545883.909401517,Excellent
Benken (SG),3312,https://osm.org/relation/1683864,0.9990563585492189,0.024240604996172747,3.6297245026847014,0.09442013167299339,16495443.313216446,16499441.90847237,Excellent
Dully,5855,https://osm.org/relation/1684950,0.9979530560314508,0.07219584750677155,13.229163509162841,0.20497807660098494,5754563.734534591,5758718.290593056,Excellent
Forel (Lavaux),5604,https://osm.org/relation/1684977,0.9991983197264693,0.013264613132510561,9.968259269060889,0.08020549392351291,18508235.758285552,18510690.80415654,Excellent
Liedertswil,2890,https://osm.org/relation/1683668,0.9980241894869836,0.033782025478865815,10.622816671869305,0.19774302923909162,1944730.3270051198,1944073.3577105557,Excellent
Terre di Pedemonte,5396,https://osm.org/relation/2888313,0.9700827056472379,1.854944956966333,419.53736806073573,3.008992424162849,11591013.873943152,11376006.946627175,Good
Laupen,667,https://osm.org/relation/1682527,0.9914811359748004,0.2175396337359981,118.93342097712153,0.8545999174865426,4138186.3209970095,4129184.1256309994,Excellent
Echarlens,2131,https://osm.org/relation/1683311,0.9105686922127602,8.559991239764296,3611.26647895113,8.961065056708252,5195261.683478826,4750547.738490207,Fair
Bedano,5148,https://osm.org/relation/1684622,0.9746009391595546,0.10008721370144251,84.74869362988518,2.5712891887007543,1872834.4345800583,1870959.966777246,Good
Erschwil,2615,https://osm.org/relation/1683501,0.9987112975335873,0.023631588091301222,3.5530625232196122,0.12893810102263556,7429920.896554045,7428165.088252262,Excellent
Mézières (FR),2087,https://osm.org/relation/1683372,0.994450598357352,0.022737079573166397,25.19559937569888,0.5564209774142914,8926625.004439065,8924595.350608608,Excellent
Schaffhausen,2939,https://osm.org/relation/1683703,0.9965618936343997,0.03323667423973174,28.337898066062056,0.34445991708755663,41845845.86024889,41859754.027720325,Excellent
Quarten,3295,https://osm.org/relation/1683920,0.9995266145066536,0.0009950201443769387,5.513390193118972,0.04734999224834648,73210401.47107047,73211129.92931288,Excellent
Hergiswil (NW),1507,https://osm.org/relation/1683080,0.9986088978631363,0.05036927680510863,47.30746769604935,0.13917198050176993,16993148.979022264,16984589.652775116,Excellent
Frauenkappelen,663,https://osm.org/relation/1682444,0.999395076838739,0.013420744741729091,4.703897836073944,0.06050655777557535,9288071.166259628,9286824.637936974,Excellent
Amden,3311,https://osm.org/relation/1683858,0.99954152435719,0.00048023726861283223,3.7504048791812394,0.04585818680044329,47618317.26937102,47618545.95027723,Excellent
Gansingen,4164,https://osm.org/relation/1684314,0.9963332814877867,0.06013556380235435,10.79991961294942,0.3672348745851104,8772862.676094988,8767587.065663112,Excellent
Orny,5493,https://osm.org/relation/1685084,0.9981199475563985,0.01476398269761836,6.2502747985193245,0.18816824891726538,5549574.910338116,5548755.572058562,Excellent
Künten,4031,https://osm.org/relation/1684345,0.9958149797409138,0.03244395564047035,9.410193594363081,0.4193115502690333,4891175.1577484915,4889588.267050014,Excellent
Leutwil,4138,https://osm.org/relation/1684353,0.995827327594629,0.02680491087382558,17.01478738647615,0.418195661341116,3746032.1095764246,3747036.2301447014,Excellent
Walliswil bei Wangen,991,https://osm.org/relation/1682713,0.9983008646600092,0.038372548674973035,3.00075049821142,0.1700906375825929,3071812.6300695003,3072991.3628661777,Excellent
Baulmes,5745,https://osm.org/relation/1684843,0.9969794174525721,0.07826895208199039,36.41848885737274,0.3023967530046774,22501924.998638745,22484312.977744035,Excellent
Sion,6266,https://osm.org/relation/1685377,0.9985677001759312,0.04982804792386862,39.52128764941526,0.14329692013163353,34863829.66818103,34846457.702425875,Excellent
Langrickenbach,4681,https://osm.org/relation/1684538,0.9982344983939466,0.011223900079743257,4.104667085213365,0.17669623143877178,10826300.991587393,10825085.858381765,Excellent
Oensingen,2407,https://osm.org/relation/1683565,0.9984834909332133,0.04129840990737621,40.158466034771195,0.1517973223929945,12105841.676709691,12110841.196828077,Excellent
Titterten,2894,https://osm.org/relation/1683716,0.9985962635787262,0.0451033384523562,9.659789176819261,0.14050391395753112,3711079.5228089946,3712753.3435664033,Excellent
