name,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,geom_type
La Côte-aux-Fées,,6504,,24,,,,,,,
Bubikon,,112,105,1,,,,,,,
Teuffenthal (BE),,940,247,2,,,,,,,
Le Vaud,,5731,2228,22,,,,,,,
Reinach (BL),,2773,1301,13,,,,,,,
Presinge,,6635,,25,,,,,,,
Olten,,2581,1108,11,,,,,,,
Seedorf (UR),,1214,,4,,,,,,,
Uerkheim,,4286,1910,19,,,,,,,
Flaach,,28,102,1,,,,,,,
Teufen (AR),,3024,1502,15,,,,,,,
Münsterlingen,,4691,2013,20,,,,,,,
Stettlen,,358,246,2,,,,,,,
Chêne-Pâquier,,5908,2224,22,,,,,,,
Bürchen,,6193,2309,23,,,,,,,
Château-d'Oex,,5841,2230,22,,,,,,,
Haute-Sorne,,6729,2601,26,,,,,,,
Herznach-Ueken,,4186,1906,19,,,,,,,
Tannay,,5729,2228,22,,,,,,,
Wallisellen,,69,103,1,,,,,,,
Vérossaz,,6220,2310,23,,,,,,,
Itingen,,2849,1304,13,,,,,,,
Engelberg,,1402,,6,,,,,,,
Oppligen,,622,246,2,,,,,,,
Chigny,,5628,2227,22,,,,,,,
Champvent,,5905,2224,22,,,,,,,
Soazza,,3823,1847,18,,,,,,,
Nesslau,,3360,1727,17,,,,,,,
Balm bei Günsberg,,2541,1107,11,,,,,,,
Rüegsau,,956,245,2,,,,,,,
Hauenstein-Ifenthal,,2491,1105,11,,,,,,,
Broc,,2124,1003,10,,,,,,,
Ausserberg,,6191,2309,23,,,,,,,
Niederhelfenschwil,,3423,1728,17,,,,,,,
Buch (SH),,2961,1405,14,,,,,,,
Diessenhofen,,4545,2012,20,,,,,,,
Avully,,6603,,25,,,,,,,
Rohrbachgraben,,339,244,2,,,,,,,
Huttwil,,954,244,2,,,,,,,
Hausen am Albis,,4,101,1,,,,,,,
Staufen,,4210,1907,19,,,,,,,
Känerkinden,,2850,1304,13,,,,,,,
Gempen,,2474,1104,11,,,,,,,
Grandcour,,5817,2222,22,,,,,,,
Safnern,,746,242,2,,,,,,,
Romainmôtier-Envy,,5761,2224,22,,,,,,,
Schleinikon,,98,104,1,,,,,,,
Albula/Alvra,,3542,1841,18,,,,,,,
Trüllikon,,40,102,1,,,,,,,
Dorénaz,,6212,2310,23,,,,,,,
Corminboeuf,,2183,1004,10,,,,,,,
Gottlieben,,4651,2013,20,,,,,,,
Wittnau,,4181,1906,19,,,,,,,
Rapperswil (BE),,310,243,2,,,,,,,
Wäldi,,4701,2013,20,,,,,,,
Speicher,,3023,1502,15,,,,,,,
Andermatt,,1202,,4,,,,,,,
Dardagny,,6620,,25,,,,,,,
Versoix,,6644,,25,,,,,,,
Etagnières,,5521,2223,22,,,,,,,
Hasle bei Burgdorf,,406,245,2,,,,,,,
Paradiso,,5210,2105,21,,,,,,,
Rickenbach (ZH),,225,110,1,,,,,,,
Wegenstetten,,4262,1909,19,,,,,,,
Jens,,738,243,2,,,,,,,
Hallwil,,4197,1907,19,,,,,,,
Bürglen (TG),,4911,2015,20,,,,,,,
Sils im Domleschg,,3640,1851,18,,,,,,,
Merenschwand,,4234,1908,19,,,,,,,
Biberist,,2513,1106,11,,,,,,,
Illgau,,1363,506,5,,,,,,,
Hohenrain,,1032,313,3,,,,,,,
Mesocco,,3822,1847,18,,,,,,,
Ernen,,6056,2304,23,,,,,,,
Confignon,,6618,,25,,,,,,,
Kesswil,,4426,2011,20,,,,,,,
Ormont-Dessous,,5410,2221,22,,,,,,,
Dompierre (VD),,5671,2222,22,,,,,,,
Brusino Arsizio,,5160,2105,21,,,,,,,
Grandval,,694,241,2,,,,,,,
Tavannes,,713,241,2,,,,,,,
Sâles,,2152,1003,10,,,,,,,
Neuheim,,1705,,9,,,,,,,
Oberentfelden,,4010,1901,19,,,,,,,
Stettfurt,,4606,2012,20,,,,,,,
Bosco/Gurin,,5304,2108,21,,,,,,,
Airolo,,5061,2103,21,,,,,,,
Muttenz,,2770,1301,13,,,,,,,
Lignerolle,,5755,2224,22,,,,,,,
Valeyres-sous-Rances,,5763,2224,22,,,,,,,
Oberweningen,,93,104,1,,,,,,,
Epalinges,,5584,2225,22,,,,,,,
Meltingen,,2620,1110,11,,,,,,,
Belfaux,,2175,1004,10,,,,,,,
Seltisberg,,2833,1303,13,,,,,,,
Schinznach,,4125,1904,19,,,,,,,
Orsières,,6034,2303,23,,,,,,,
Givrins,,5720,2228,22,,,,,,,
Givisiez,,2197,1004,10,,,,,,,
Burg im Leimental,,2783,1302,13,,,,,,,
Wangen (SZ),,1349,505,5,,,,,,,
Bubendorf,,2823,1303,13,,,,,,,
Seegräben,,119,105,1,,,,,,,
Kammersrohr,,2549,1107,11,,,,,,,
Essertines-sur-Rolle,,5856,2228,22,,,,,,,
Herbligen,,610,246,2,,,,,,,
Mervelier,,6715,2601,26,,,,,,,
Basadingen-Schlattingen,,4536,2012,20,,,,,,,
Hermance,,6625,,25,,,,,,,
Saulcy,,6722,2601,26,,,,,,,
Böttstein,,4303,1911,19,,,,,,,
Wildberg,,182,108,1,,,,,,,
Hallau,,2971,1406,14,,,,,,,
Wädenswil,,293,106,1,,,,,,,
Kriechenwil,,666,246,2,,,,,,,
Innertkirchen,,784,250,2,,,,,,,
Saint-Gingolph,,6155,2308,23,,,,,,,
Eschenz,,4806,2012,20,,,,,,,
Lohn-Ammannsegg,,2526,1106,11,,,,,,,
Oetwil an der Limmat,,246,111,1,,,,,,,
Brienz (BE),,573,250,2,,,,,,,
Orpund,,744,242,2,,,,,,,
Cottens (FR),,2186,1004,10,,,,,,,
Liestal,,2829,1303,13,,,,,,,
Fehraltorf,,172,108,1,,,,,,,
Gerzensee,,866,246,2,,,,,,,
Zeneggen,,6299,2313,23,,,,,,,
Valeyres-sous-Montagny,,5933,2224,22,,,,,,,
Dachsen,,25,102,1,,,,,,,
Bussy-sur-Moudon,,5663,2222,22,,,,,,,
Islisberg,,4084,1903,19,,,,,,,
Zielebach,,556,245,2,,,,,,,
Rheinfelden,,4258,1909,19,,,,,,,
Eriz,,924,247,2,,,,,,,
Villars-Sainte-Croix,,5651,2229,22,,,,,,,
Avenches,,5451,2222,22,,,,,,,
Rothenthurm,,1370,506,5,,,,,,,
Quinto,,5079,2103,21,,,,,,,
Ried-Brig,,6008,2301,23,,,,,,,
Buchs (AG),,4003,1901,19,,,,,,,
Bulle,,2125,1003,10,,,,,,,
Greppen,,1056,312,3,,,,,,,
Bühl,,734,243,2,,,,,,,
Ruswil,,1098,314,3,,,,,,,
Gaiserwald,,3442,1721,17,,,,,,,
Anniviers,,6252,2311,23,,,,,,,
Corbières,,2129,1003,10,,,,,,,
Porrentruy,,6800,2603,26,,,,,,,
Trin,,3734,1844,18,,,,,,,
Ueberstorf,,2308,1006,10,,,,,,,
Boncourt,,6774,2603,26,,,,,,,
Yens,,5655,2227,22,,,,,,,
Beinwil am See,,4131,1905,19,,,,,,,
Bannwil,,323,244,2,,,,,,,
Muri (AG),,4236,1908,19,,,,,,,
Schmerikon,,3338,1726,17,,,,,,,
Lauterbrunnen,,584,250,2,,,,,,,
Bellikon,,4022,1902,19,,,,,,,
Gams,,3272,1724,17,,,,,,,
Siblingen,,2953,1404,14,,,,,,,
Möriken-Wildegg,,4203,1907,19,,,,,,,
La Sonnaz,,2235,1004,10,,,,,,,
Reigoldswil,,2893,1305,13,,,,,,,
Morrens (VD),,5527,2223,22,,,,,,,
Arni (AG),,4061,1903,19,,,,,,,
Thürnen,,2864,1304,13,,,,,,,
Chexbres,,5601,2226,22,,,,,,,
Fürstenau,,3633,1851,18,,,,,,,
Savièse,,6265,2312,23,,,,,,,
Agarn,,6101,2306,23,,,,,,,
Unterschächen,,1219,,4,,,,,,,
Villars-Epeney,,5935,2224,22,,,,,,,
Grône,,6238,2311,23,,,,,,,
Hüniken,,2524,1106,11,,,,,,,
Sils im Engadin/Segl,,3789,1846,18,,,,,,,
Meierskappel,,1064,312,3,,,,,,,
Sonceboz-Sombeval,,444,241,2,,,,,,,
Chêne-Bougeries,,6612,,25,,,,,,,
Vallon,,2045,1001,10,,,,,,,
Roches (BE),,704,241,2,,,,,,,
Bellevue,,6606,,25,,,,,,,
Champoz,,683,241,2,,,,,,,
Bäretswil,,111,105,1,,,,,,,
Sullens,,5501,2223,22,,,,,,,
Chavornay,,5749,2224,22,,,,,,,
Chêne-Bourg,,6613,,25,,,,,,,
Bursinel,,5852,2228,22,,,,,,,
Trient,,6142,2307,23,,,,,,,
Buchs (SG),,3271,1724,17,,,,,,,
La Tour-de-Peilz,,5889,2230,22,,,,,,,
Tübach,,3218,1722,17,,,,,,,
Stalden (VS),,6293,2313,23,,,,,,,
Thierachern,,941,247,2,,,,,,,
Romont (BE),,442,241,2,,,,,,,
Köniz,,355,246,2,,,,,,,
Churwalden,,3911,1848,18,,,,,,,
Gilly,,5857,2228,22,,,,,,,
Brusio,,3551,1842,18,,,,,,,
Krattigen,,566,249,2,,,,,,,
Thusis,,3668,1851,18,,,,,,,
Riva San Vitale,,5263,2106,21,,,,,,,
Lüscherz,,497,243,2,,,,,,,
Rebstein,,3255,1723,17,,,,,,,
Hausen (AG),,4100,1904,19,,,,,,,
Delémont,,6711,2601,26,,,,,,,
Pfäffikon,,177,108,1,,,,,,,
Rubigen,,623,246,2,,,,,,,
Marchissy,,5430,2228,22,,,,,,,
Disentis/Mustér,,3982,1850,18,,,,,,,
Oberkirch,,1095,314,3,,,,,,,
Birrhard,,4093,1904,19,,,,,,,
Gletterens,,2022,1001,10,,,,,,,
Kleinlützel,,2619,1110,11,,,,,,,
Crans (VD),,5713,2228,22,,,,,,,
Rorbas,,68,103,1,,,,,,,
Reiden,,1140,315,3,,,,,,,
Coinsins,,5710,2228,22,,,,,,,
Martigny,,6136,2307,23,,,,,,,
Oberriet (SG),,3254,1723,17,,,,,,,
Kemmental,,4666,2013,20,,,,,,,
Lauerz,,1365,506,5,,,,,,,
Froideville,,5523,2223,22,,,,,,,
Mauborget,,5562,2224,22,,,,,,,
Binn,,6054,2304,23,,,,,,,
Courtételle,,6710,2601,26,,,,,,,
Schnottwil,,2461,1103,11,,,,,,,
Oberwil-Lieli,,4074,1903,19,,,,,,,
Ronco sopra Ascona,,5125,2104,21,,,,,,,
Lengwil,,4683,2013,20,,,,,,,
Steg-Hohtenn,,6204,2309,23,,,,,,,
Lax,,6061,2304,23,,,,,,,
Wohlenschwil,,4046,1902,19,,,,,,,
Häggenschwil,,3201,1721,17,,,,,,,
Eggersriet,,3212,1721,17,,,,,,,
Belprahon,,681,241,2,,,,,,,
Icogne,,6239,2311,23,,,,,,,
Weiach,,102,104,1,,,,,,,
Landiswil,,613,246,2,,,,,,,
Heimiswil,,407,245,2,,,,,,,
Lonay,,5638,2227,22,,,,,,,
Gsteigwiler,,577,250,2,,,,,,,
Yverdon-les-Bains,,5938,2224,22,,,,,,,
Courchapoix,,6706,2601,26,,,,,,,
Kirchdorf (BE),,872,246,2,,,,,,,
Ballaigues,,5744,2224,22,,,,,,,
Wauwil,,1146,315,3,,,,,,,
Obergoms,,6076,2304,23,,,,,,,
Ried bei Kerzers,,2276,1005,10,,,,,,,
Teufenthal (AG),,4145,1905,19,,,,,,,
Leuk,,6110,2306,23,,,,,,,
Oberuzwil,,3407,1728,17,,,,,,,
Eiken,,4161,1906,19,,,,,,,
Crémines,,691,241,2,,,,,,,
Stabio,,5266,2106,21,,,,,,,
Hittnau,,173,108,1,,,,,,,
Chevilly,,5476,2227,22,,,,,,,
Feuerthalen,,27,102,1,,,,,,,
Rheineck,,3235,1723,17,,,,,,,
Lovatens,,5674,2222,22,,,,,,,
Knonau,,7,101,1,,,,,,,
Niederried bei Interlaken,,588,250,2,,,,,,,
Chardonne,,5882,2230,22,,,,,,,
Wald (ZH),,120,105,1,,,,,,,
Dierikon,,1053,312,3,,,,,,,
Merishausen,,2936,1403,14,,,,,,,
Willisau,,1151,315,3,,,,,,,
Schongau,,1041,313,3,,,,,,,
Lostorf,,2493,1105,11,,,,,,,
Wyssachen,,960,244,2,,,,,,,
Hellikon,,4251,1909,19,,,,,,,
Daillens,,5480,2223,22,,,,,,,
Sauge,,449,241,2,,,,,,,
Corsier (GE),,6619,,25,,,,,,,
Aeschi bei Spiez,,562,249,2,,,,,,,
Schupfart,,4259,1909,19,,,,,,,
Ettiswil,,1128,315,3,,,,,,,
Samnaun,,3752,1843,18,,,,,,,
Mägenwil,,4032,1902,19,,,,,,,
Ennetbaden,,4026,1902,19,,,,,,,
Bière,,5425,2227,22,,,,,,,
Zell (LU),,1150,315,3,,,,,,,
Egolzwil,,1127,315,3,,,,,,,
Santa Maria in Calanca,,3810,1847,18,,,,,,,
Vals,,3603,1850,18,,,,,,,
Nottwil,,1094,314,3,,,,,,,
Egg,,192,109,1,,,,,,,
Urtenen-Schönbühl,,551,246,2,,,,,,,
Bleienbach,,324,244,2,,,,,,,
Prez,,2237,1004,10,,,,,,,
Hochwald,,2475,1104,11,,,,,,,
Grellingen,,2786,1302,13,,,,,,,
Denges,,5632,2227,22,,,,,,,
Amlikon-Bissegg,,4881,2015,20,,,,,,,
Amriswil,,4461,2011,20,,,,,,,
Bünzen,,4229,1908,19,,,,,,,
Vendlincourt,,6806,2603,26,,,,,,,
Echandens,,5633,2227,22,,,,,,,
Fideris,,3861,1849,18,,,,,,,
Attinghausen,,1203,,4,,,,,,,
Renan (BE),,441,241,2,,,,,,,
Emmetten,,1504,,7,,,,,,,
Münchwilen (TG),,4746,2014,20,,,,,,,
Genève,,6621,,25,,,,,,,
Männedorf,,155,107,1,,,,,,,
Henggart,,31,102,1,,,,,,,
Lalden,,6286,2313,23,,,,,,,
Hüntwangen,,61,103,1,,,,,,,
Soubey,,6759,2602,26,,,,,,,
Arbedo-Castione,,5001,2101,21,,,,,,,
Provence,,5566,2224,22,,,,,,,
Chéserex,,5709,2228,22,,,,,,,
Maienfeld,,3953,1845,18,,,,,,,
Romanel-sur-Morges,,5645,2227,22,,,,,,,
Hägendorf,,2579,1108,11,,,,,,,
Stäfa,,158,107,1,,,,,,,
Mutrux,,5563,2224,22,,,,,,,
Uznach,,3339,1726,17,,,,,,,
Lully (FR),,2025,1001,10,,,,,,,
Gonten,,3102,,16,,,,,,,
Welschenrohr-Gänsbrunnen,,2430,1102,11,,,,,,,
Onsernone,,5136,2104,21,,,,,,,
Klingnau,,4309,1911,19,,,,,,,
Ettingen,,2768,1301,13,,,,,,,
Metzerlen-Mariastein,,2477,1104,11,,,,,,,
Egerkingen,,2401,1101,11,,,,,,,
Villars-sur-Glâne,,2228,1004,10,,,,,,,
Wohlen (AG),,4082,1903,19,,,,,,,
Bennwil,,2882,1305,13,,,,,,,
Oberbuchsiten,,2406,1101,11,,,,,,,
Villeret,,448,241,2,,,,,,,
Zwischbergen,,6011,2301,23,,,,,,,
Langenbruck,,2888,1305,13,,,,,,,
Magden,,4253,1909,19,,,,,,,
