name,country,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Hirschthal,CH,1684328,4007,1901,19,0.9999931692400316,5.3539018182304556e-05,0.015,0.0006830781467940839,3530060.2313570436,3530058.3413974545
Essertines-sur-Yverdon,CH,1684966,5520,2223,22,0.9999957064318092,3.072166009332302e-05,0.016,0.0004293578068115204,9754557.249477975,9754560.246239897
Rottenschwil,CH,1684407,4238,1908,19,0.9999944430554187,3.9365488024029994e-05,0.013,0.0005556961114747249,4493472.539747541,4493474.308624935
Boussens,CH,1684865,5473,2223,22,0.9999941581251345,0.00022794003603602344,0.017,0.0005841885271014218,3156144.8304574704,3156137.6363398065
Ramsen,CH,1683692,2963,1405,14,0.9999954941124778,4.385072919481727e-06,0.014,0.0004505897771965195,13495841.202717196,13495841.794519674
Rolle,CH,1685122,5861,2228,22,0.9997509227102426,0.003886906692797746,3.486,0.024911315467331715,13508743.002922919,13509268.075158812
Mandach,CH,1684358,4105,1904,19,0.9999951651635761,3.272916367414262e-05,0.015,0.00048348473205686414,5540921.474211058,5540919.660713799
Altdorf (UR),CH,1683055,1201,,4,0.9988556123963745,0.01817015026098723,3.573,0.11449387620152067,10206103.64358301,10204249.17921518
Gampel-Bratsch,CH,1685309,6118,2306,23,0.9999980153622368,1.0228371981742976e-05,0.016,0.00019846396296193173,23035414.308126554,23035411.95197869
Oulens-sous-Echallens,CH,1685088,5529,2223,22,0.9999943319470811,5.4976881184362806e-05,0.016,0.0005668070544083228,5867707.511827034,5867710.737709621
Kaisten,CH,1684338,4169,1906,19,0.9999971865349372,2.7863742380078558e-05,0.015,0.000281346862602302,18089728.939951472,18089723.899476003
Trub,CH,1682691,908,245,2,0.9999983521216966,5.780385902001649e-07,0.015,0.0001647879655961452,61987137.27765892,61987136.91934934
Pohlern,CH,1682607,936,247,2,0.9999194910269086,0.003201637477445223,2.095,0.008051350292499234,9866380.414899455,9866696.300632486
Hinwil,CH,1682138,117,105,1,0.9999964491190305,8.742201991430657e-06,0.015,0.00035508874270498024,22281571.7403876,22281573.68828761
