name,bfs_nummer,status,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Winterthur,230,https://osm.org/relation/1682243,0.032426557117503224,85.02706239401951,608.5054669830585,107.75077443602822,68070608.55836754,10192169.747455582
Bercher,5512,https://osm.org/relation/1684849,0.07298906903932036,76.58645821313425,354.64428600116133,106.6233623119902,4268816.607651586,999481.1602371695
Saint-Martin (FR),2335,https://osm.org/relation/1683395,0.2769268193562075,70.28503384149305,558.2950577487615,73.45245767852498,9783759.619362812,2907240.8599233283
Güttingen,4656,https://osm.org/relation/1684525,0.05558982574444836,79.8713367227665,608.0671966575443,107.47615129648264,9546367.21662463,1921556.1122425802
Benken (SG),3312,https://osm.org/relation/1683864,0.16490225657859534,74.6115236254095,209.44437262663874,89.8887722812162,16495443.331388915,4187941.7330736397
Dully,5855,https://osm.org/relation/1684950,0.0003468208962643294,94.64219700683363,949.469086680377,105.28474775491483,5754563.742824065,308318.18845669425
Forel (Lavaux),5604,https://osm.org/relation/1684977,0.00025272577141466986,73.02265441579688,474.94594641530506,126.91318090504392,18508235.7841361,4993030.729025545
Liedertswil,2890,https://osm.org/relation/1683668,0.10670067117977618,69.56405334430967,306.59611583372254,105.28442480960231,1944730.3293655913,591897.0856427423
Terre di Pedemonte,5396,https://osm.org/relation/2888313,0.10522789932597847,86.42365012643279,419.5370836802141,91.9493158155302,11591013.888704145,1573636.5994242425
Laupen,667,https://osm.org/relation/1682527,0.16714106724245947,67.856125594771,153.00786152208147,94.29640451912856,4138186.3263167054,1330173.4153856016
Echarlens,2131,https://osm.org/relation/1683311,0.2026467732733874,76.95316252282133,522.5074843842776,81.57989118773968,5195261.690524733,1197343.5183293608
Bedano,5148,https://osm.org/relation/1684622,0.009169562571407578,62.21615759952817,184.4487031982315,135.2799667167876,1872834.4371007036,707628.8121358935
Erschwil,2615,https://osm.org/relation/1683501,0.14309900860457794,77.664508681415,393.36805882957657,91.70632027903562,7429920.905662253,1659509.3388619244
