Name,Country,OSM Relation,BFS Number,Bezirksnummer,Kantonsnummer,IoU,Area Diff [%],Hausdorff Distance [m],Symmetric Diff [%],Area swisstopo [m²],Area OSM [m²]
Le Noirmont,CH,1685608,6754,2602,26,0.9999971837462348,3.572132568963464e-05,0.014,0.00028162572266088684,20388273.9942776,20388266.711315844
Crassier,CH,1684929,5714,2228,22,0.9976718587689519,0.14756355520568054,4.953,0.2332574256182721,2030300.128586476,2033296.1116375637
La Baroche,CH,1685604,6810,2603,26,0.9999978585847279,5.549227911621028e-05,0.014,0.0002141416971479523,31071562.9339074,31071545.69158897
Meyrin,CH,1685516,6630,,25,0.9991454408837053,0.060993501611415965,5.103,0.08551851321858135,9937310.729679424,9943371.843459463
Veltheim (AG),CH,1684450,4120,1904,19,0.999995799179315,9.845547922026717e-05,0.014,0.0004200831576490185,5238638.573873467,5238643.731600179
Suscévaz,CH,1685158,5930,2224,22,0.9999581369104937,0.0015463329709056997,0.299,0.004186428946071031,4156739.7678259467,4156804.0448634913
Endingen,CH,3411173,4305,1911,19,0.9999967040917864,2.674821819017235e-07,0.014,0.0003295913641849611,11913840.932439508,11913840.900572106
Morschach,CH,1683091,1366,506,5,0.9999978077844163,3.468019794313935e-05,0.014,0.00021922183658186226,23502309.011295896,23502317.161943182
Gränichen,CH,1684319,4006,1901,19,0.9999971209656903,4.580332199647903e-05,0.015,0.00028790391143775106,17233142.83984613,17233150.733198036
Cheseaux-sur-Lausanne,CH,1684899,5582,2225,22,0.9999938778260248,1.96155097893323e-05,0.016,0.000612219331444605,4584763.512573439,4584764.411898174
Mont-Tramelan,CH,1682557,437,241,2,0.9999922014405925,6.294032483404794e-05,0.008,0.0007798587361536007,4639706.079371432,4639703.159125354
Buckten,CH,1683635,2843,1304,13,0.9984540290050801,0.02578687442944726,3.145,0.154736641551793,1997945.9773439628,1998461.1851643086
Nidau,CH,1682573,743,242,2,0.9988780951003117,0.033274416457346793,6.913,0.11227213466312976,1521013.825836523,1521519.9343113056
Staffelbach,CH,1684430,4284,1910,19,0.9999955646961096,3.73352992198107e-05,0.015,0.0004435314554347862,8933086.366180446,8933089.70137497
Grenchen,CH,1683510,2546,1107,11,0.9999975514385309,1.0366817929004046e-05,0.014,0.0002448564594844393,26026670.216175076,26026672.91431259
Rüttenen,CH,1683572,2555,1107,11,0.9991282047820206,0.00829024843415244,4.672,0.08722115499016775,8765587.692268481,8766314.381264884
Magliaso,CH,1684704,5193,2105,21,0.999991134013383,2.493791318460506e-05,0.012,0.0008866027024922962,1755649.058666061,1755649.496488299
Eschenbach (SG),CH,2743488,3342,1726,17,0.9995098080601635,0.004481997645143458,3.672,0.04903231012461895,54891727.67884562,54894187.924787566
Winterthur,CH,1682243,230,110,1,0.9999979397886672,9.284560628853503e-07,0.017,0.00020602134413369804,68070608.48568803,68070607.85368234
Bercher,CH,1684849,5512,2223,22,0.999993636943524,3.040893975032441e-05,0.018,0.0006363075752777894,4268816.601758026,4268815.303656157
Saint-Martin (FR),CH,1683395,2335,1007,10,0.9987225518933969,0.008680266765216774,3.335,0.12782090865406617,9783759.605935514,9782910.349502051
Güttingen,CH,1684525,4656,2013,20,0.9986778243455858,0.001429542631797387,3.775,0.13230408500804944,9546367.2070065,9546230.737617487
Benken (SG),CH,1683864,3312,1726,17,0.999067290474516,0.024142629188606827,3.63,0.09332573447922464,16495443.313216446,16499425.746928573
Dully,CH,1684950,5855,2228,22,0.9999263094598972,0.006638965844458823,0.833,0.007369080911556804,5754563.734534591,5754181.691013758
Forel (Lavaux),CH,1684977,5604,2226,22,0.999562030089084,0.004790781017976094,5.353,0.04380553473586097,18508235.758285552,18507349.069240082
Liedertswil,CH,1683668,2890,1305,13,0.9999902433766705,0.00019099479329035858,0.015,0.0009756680242812754,1944730.3270051198,1944734.0413387879
Terre di Pedemonte,CH,2888313,5396,2104,21,0.9999966154630435,6.659719487980717e-05,0.017,0.00033845415542200884,11591013.873943152,11591006.154653054
Laupen,CH,1682527,667,246,2,0.9999935256764496,3.527846787983825e-06,0.014,0.0006474344623243356,4138186.3209970095,4138186.4669858827
Echarlens,CH,1683311,2131,1003,10,0.9999944838512184,2.6576254744653426e-05,0.014,0.0005516164728641651,5195261.683478826,5195263.064184805
Bedano,CH,1684622,5148,2105,21,0.999975630954125,0.0007180602966582022,0.27,0.002436943029778848,1872834.4345800583,1872847.8826605552
Erschwil,CH,1683501,2615,1110,11,0.9990448326154765,0.04096030546235569,3.553,0.09554280616447694,7429920.896554045,7426877.578259205
Mézières (FR),CH,1683372,2087,1002,10,0.9999960818840863,2.455157416671096e-05,0.013,0.0003918124073277715,8926625.004439065,8926627.196066024
Schaffhausen,CH,1683703,2939,1403,14,0.9999975277337554,1.522585411635566e-05,0.015,0.00024722691106726234,41845845.86024889,41845839.48886145
Quarten,CH,1683920,3295,1725,17,0.9997753155568991,0.008758639280155035,3.514,0.02246998467307977,73210401.47107047,73203989.23609006
Hergiswil (NW),CH,1683080,1507,,7,0.9999962659785241,9.827590783956496e-05,0.015,0.0003734026612434693,16993148.979022264,16993132.278850835
Frauenkappelen,CH,1682444,663,246,2,0.9999947444970512,0.00023518306084435264,0.028,0.0005255510579387089,9288071.166259628,9288049.322289566
Amden,CH,1683858,3311,1726,17,0.9998175919966886,0.004401334569348757,3.75,0.018242865572831245,47618317.26937102,47620413.11083034
Gansingen,CH,1684314,4164,1906,19,0.999995689369374,3.238275026035402e-05,0.015,0.000431063921820149,8772862.676094988,8772859.835200777
Orny,CH,1685084,5493,2227,22,0.9997066990537046,0.02688936521847285,2.06,0.029338340449230768,5549574.910338116,5551067.155803829
